tipo,grupo,arquivo,formato,largura,altura,peso_kb,url_cdn,url_raw
produtos,0000000000437,01-vestido-manga-longa-floral-preto-51abba5476e49e7c8,original,832,1248,102,https://cdn.jsdelivr.net/gh/raphavianna/midia-produtos@main/originais/produtos/0000000000437/01-vestido-manga-longa-floral-preto-51abba5476e49e7c8.jpg,https://raw.githubusercontent.com/raphavianna/midia-produtos/main/originais/produtos/0000000000437/01-vestido-manga-longa-floral-preto-51abba5476e49e7c8.jpg
produtos,0000000000437,01-vestido-manga-longa-floral-preto-51abba5476e49e7c8,quadrado-1x1 (jpg),1080,1080,86,https://cdn.jsdelivr.net/gh/raphavianna/midia-produtos@main/cdn/produtos/0000000000437/01-vestido-manga-longa-floral-preto-51abba5476e49e7c8--quadrado-1x1.jpg,https://raw.githubusercontent.com/raphavianna/midia-produtos/main/cdn/produtos/0000000000437/01-vestido-manga-longa-floral-preto-51abba5476e49e7c8--quadrado-1x1.jpg
produtos,0000000000437,01-vestido-manga-longa-floral-preto-51abba5476e49e7c8,vertical-4x5 (jpg),1080,1350,118,https://cdn.jsdelivr.net/gh/raphavianna/midia-produtos@main/cdn/produtos/0000000000437/01-vestido-manga-longa-floral-preto-51abba5476e49e7c8--vertical-4x5.jpg,https://raw.githubusercontent.com/raphavianna/midia-produtos/main/cdn/produtos/0000000000437/01-vestido-manga-longa-floral-preto-51abba5476e49e7c8--vertical-4x5.jpg
produtos,0000000000437,01-vestido-manga-longa-floral-preto-51abba5476e49e7c8,story-9x16 (jpg),1080,1920,148,https://cdn.jsdelivr.net/gh/raphavianna/midia-produtos@main/cdn/produtos/0000000000437/01-vestido-manga-longa-floral-preto-51abba5476e49e7c8--story-9x16.jpg,https://raw.githubusercontent.com/raphavianna/midia-produtos/main/cdn/produtos/0000000000437/01-vestido-manga-longa-floral-preto-51abba5476e49e7c8--story-9x16.jpg
produtos,0000000000437,01-vestido-manga-longa-floral-preto-51abba5476e49e7c8,wide-16x9 (jpg),1200,675,44,https://cdn.jsdelivr.net/gh/raphavianna/midia-produtos@main/cdn/produtos/0000000000437/01-vestido-manga-longa-floral-preto-51abba5476e49e7c8--wide-16x9.jpg,https://raw.githubusercontent.com/raphavianna/midia-produtos/main/cdn/produtos/0000000000437/01-vestido-manga-longa-floral-preto-51abba5476e49e7c8--wide-16x9.jpg
produtos,0000000000437,01-vestido-manga-longa-floral-preto-51abba5476e49e7c8,thumb (jpg),400,400,19,https://cdn.jsdelivr.net/gh/raphavianna/midia-produtos@main/cdn/produtos/0000000000437/01-vestido-manga-longa-floral-preto-51abba5476e49e7c8--thumb.jpg,https://raw.githubusercontent.com/raphavianna/midia-produtos/main/cdn/produtos/0000000000437/01-vestido-manga-longa-floral-preto-51abba5476e49e7c8--thumb.jpg
produtos,0000000000437,02-img_1688-fb1295208acd95165a17412240822892-1024-102,original,1024,1364,292,https://cdn.jsdelivr.net/gh/raphavianna/midia-produtos@main/originais/produtos/0000000000437/02-img_1688-fb1295208acd95165a17412240822892-1024-102.jpg,https://raw.githubusercontent.com/raphavianna/midia-produtos/main/originais/produtos/0000000000437/02-img_1688-fb1295208acd95165a17412240822892-1024-102.jpg
produtos,0000000000437,02-img_1688-fb1295208acd95165a17412240822892-1024-102,quadrado-1x1 (jpg),1080,1080,92,https://cdn.jsdelivr.net/gh/raphavianna/midia-produtos@main/cdn/produtos/0000000000437/02-img_1688-fb1295208acd95165a17412240822892-1024-102--quadrado-1x1.jpg,https://raw.githubusercontent.com/raphavianna/midia-produtos/main/cdn/produtos/0000000000437/02-img_1688-fb1295208acd95165a17412240822892-1024-102--quadrado-1x1.jpg
produtos,0000000000437,02-img_1688-fb1295208acd95165a17412240822892-1024-102,vertical-4x5 (jpg),1080,1350,132,https://cdn.jsdelivr.net/gh/raphavianna/midia-produtos@main/cdn/produtos/0000000000437/02-img_1688-fb1295208acd95165a17412240822892-1024-102--vertical-4x5.jpg,https://raw.githubusercontent.com/raphavianna/midia-produtos/main/cdn/produtos/0000000000437/02-img_1688-fb1295208acd95165a17412240822892-1024-102--vertical-4x5.jpg
produtos,0000000000437,02-img_1688-fb1295208acd95165a17412240822892-1024-102,story-9x16 (jpg),1080,1920,138,https://cdn.jsdelivr.net/gh/raphavianna/midia-produtos@main/cdn/produtos/0000000000437/02-img_1688-fb1295208acd95165a17412240822892-1024-102--story-9x16.jpg,https://raw.githubusercontent.com/raphavianna/midia-produtos/main/cdn/produtos/0000000000437/02-img_1688-fb1295208acd95165a17412240822892-1024-102--story-9x16.jpg
produtos,0000000000437,02-img_1688-fb1295208acd95165a17412240822892-1024-102,wide-16x9 (jpg),1200,675,43,https://cdn.jsdelivr.net/gh/raphavianna/midia-produtos@main/cdn/produtos/0000000000437/02-img_1688-fb1295208acd95165a17412240822892-1024-102--wide-16x9.jpg,https://raw.githubusercontent.com/raphavianna/midia-produtos/main/cdn/produtos/0000000000437/02-img_1688-fb1295208acd95165a17412240822892-1024-102--wide-16x9.jpg
produtos,0000000000437,02-img_1688-fb1295208acd95165a17412240822892-1024-102,thumb (jpg),400,400,18,https://cdn.jsdelivr.net/gh/raphavianna/midia-produtos@main/cdn/produtos/0000000000437/02-img_1688-fb1295208acd95165a17412240822892-1024-102--thumb.jpg,https://raw.githubusercontent.com/raphavianna/midia-produtos/main/cdn/produtos/0000000000437/02-img_1688-fb1295208acd95165a17412240822892-1024-102--thumb.jpg
produtos,0000000000437,03-img_1689-f77dd1ef7f793ef35b17412240820511-1024-102,original,1024,1364,242,https://cdn.jsdelivr.net/gh/raphavianna/midia-produtos@main/originais/produtos/0000000000437/03-img_1689-f77dd1ef7f793ef35b17412240820511-1024-102.jpg,https://raw.githubusercontent.com/raphavianna/midia-produtos/main/originais/produtos/0000000000437/03-img_1689-f77dd1ef7f793ef35b17412240820511-1024-102.jpg
produtos,0000000000437,03-img_1689-f77dd1ef7f793ef35b17412240820511-1024-102,quadrado-1x1 (jpg),1080,1080,71,https://cdn.jsdelivr.net/gh/raphavianna/midia-produtos@main/cdn/produtos/0000000000437/03-img_1689-f77dd1ef7f793ef35b17412240820511-1024-102--quadrado-1x1.jpg,https://raw.githubusercontent.com/raphavianna/midia-produtos/main/cdn/produtos/0000000000437/03-img_1689-f77dd1ef7f793ef35b17412240820511-1024-102--quadrado-1x1.jpg
produtos,0000000000437,03-img_1689-f77dd1ef7f793ef35b17412240820511-1024-102,vertical-4x5 (jpg),1080,1350,102,https://cdn.jsdelivr.net/gh/raphavianna/midia-produtos@main/cdn/produtos/0000000000437/03-img_1689-f77dd1ef7f793ef35b17412240820511-1024-102--vertical-4x5.jpg,https://raw.githubusercontent.com/raphavianna/midia-produtos/main/cdn/produtos/0000000000437/03-img_1689-f77dd1ef7f793ef35b17412240820511-1024-102--vertical-4x5.jpg
produtos,0000000000437,03-img_1689-f77dd1ef7f793ef35b17412240820511-1024-102,story-9x16 (jpg),1080,1920,107,https://cdn.jsdelivr.net/gh/raphavianna/midia-produtos@main/cdn/produtos/0000000000437/03-img_1689-f77dd1ef7f793ef35b17412240820511-1024-102--story-9x16.jpg,https://raw.githubusercontent.com/raphavianna/midia-produtos/main/cdn/produtos/0000000000437/03-img_1689-f77dd1ef7f793ef35b17412240820511-1024-102--story-9x16.jpg
produtos,0000000000437,03-img_1689-f77dd1ef7f793ef35b17412240820511-1024-102,wide-16x9 (jpg),1200,675,34,https://cdn.jsdelivr.net/gh/raphavianna/midia-produtos@main/cdn/produtos/0000000000437/03-img_1689-f77dd1ef7f793ef35b17412240820511-1024-102--wide-16x9.jpg,https://raw.githubusercontent.com/raphavianna/midia-produtos/main/cdn/produtos/0000000000437/03-img_1689-f77dd1ef7f793ef35b17412240820511-1024-102--wide-16x9.jpg
